,R2,MAE,RMSE
RandomForest,0.9529348691417104,4810.071210978836,10765.969858294762
DecisionTree,0.9355902469846581,4809.338761174968,12594.453904275653
GradientBoosting,0.8855822567513004,12145.16954570109,16786.11573484389
KNN,0.8538081093989099,12605.18295019157,18974.27390558129
